iter	Passed	Remaining
720	13658	24228
721	13672	24201
722	13686	24173
723	13701	24147
724	13714	24118
725	13729	24092
726	13744	24066
727	13757	24038
728	13772	24011
729	13785	23983
730	13800	23958
731	13814	23929
732	13827	23901
733	13842	23874
734	13855	23845
735	13869	23819
736	13883	23792
737	13897	23764
738	13910	23736
739	13924	23709
740	13939	23684
741	13953	23657
742	13967	23630
743	13981	23603
744	13996	23577
745	14009	23549
746	14023	23522
747	14037	23495
748	14051	23469
749	14066	23444
750	14080	23417
751	14094	23390
752	14103	23356
753	14117	23329
754	14131	23302
755	14144	23274
756	14158	23247
757	14168	23215
758	14183	23190
759	14196	23162
760	14210	23136
761	14224	23110
762	14239	23086
763	14249	23053
764	14263	23026
765	14273	22994
766	14287	22968
767	14302	22943
768	14317	22918
769	14330	22891
770	14344	22866
771	14358	22840
772	14373	22814
773	14386	22788
774	14401	22763
775	14415	22737
776	14428	22710
777	14442	22685
778	14457	22660
779	14471	22634
780	14485	22608
781	14498	22582
782	14509	22551
783	14523	22526
784	14532	22493
785	14547	22469
786	14562	22445
787	14577	22421
788	14591	22396
789	14605	22371
790	14620	22346
791	14634	22321
792	14648	22295
793	14662	22270
794	14676	22246
795	14690	22220
796	14704	22194
797	14718	22170
798	14732	22145
799	14747	22120
800	14761	22096
801	14775	22070
802	14788	22045
803	14803	22020
804	14818	21997
805	14832	21972
806	14846	21947
807	14861	21923
808	14874	21898
809	14889	21874
810	14898	21843
811	14913	21819
812	14923	21788
813	14937	21763
814	14952	21740
815	14966	21716
816	14980	21691
817	14994	21666
818	15007	21640
819	15021	21616
820	15035	21591
821	15049	21566
822	15063	21542
823	15077	21517
824	15091	21494
825	15105	21469
826	15119	21445
827	15133	21420
828	15146	21395
829	15160	21371
830	15176	21349
831	15191	21325
832	15212	21312
833	15226	21287
834	15240	21263
835	15254	21239
836	15268	21215
837	15282	21191
838	15297	21169
839	15308	21140
840	15322	21115
841	15337	21093
842	15364	21088
843	15378	21063
844	15393	21040
845	15407	21017
846	15422	20994
847	15436	20970
848	15479	20986
849	15494	20963
850	15508	20939
851	15522	20915
852	15536	20891
853	15549	20866
854	15564	20843
855	15578	20820
856	15592	20796
857	15607	20773
858	15621	20749
859	15636	20727
860	15650	20703
861	15665	20681
862	15679	20657
863	15693	20634
864	15708	20612
865	15723	20589
866	15737	20565
867	15750	20541
868	15766	20520
869	15780	20496
870	15795	20473
871	15804	20444
872	15819	20421
873	15833	20399
874	15847	20375
875	15861	20352
876	15875	20327
877	15884	20298
878	15894	20271
879	15908	20246
880	15922	20223
881	15936	20200
882	15947	20173
883	15956	20144
884	15970	20121
885	15985	20098
886	16000	20077
887	16014	20054
888	16028	20031
889	16043	20009
890	16053	19981
891	16069	19960
892	16083	19938
893	16098	19916
894	16113	19894
895	16128	19872
896	16156	19867
897	16170	19844
898	16185	19822
899	16200	19800
900	16215	19778
901	16229	19755
902	16243	19732
903	16256	19709
904	16271	19687
905	16285	19664
906	16299	19642
907	16313	19619
908	16327	19596
909	16342	19575
910	16356	19552
911	16366	19525
912	16380	19502
913	16395	19480
914	16409	19458
915	16422	19434
916	16436	19412
917	16450	19389
918	16464	19367
919	16479	19345
920	16493	19323
921	16508	19302
922	16523	19280
923	16537	19257
924	16550	19234
925	16564	19212
926	16579	19190
927	16594	19169
928	16608	19147
929	16618	19119
930	16631	19097
931	16645	19074
932	16659	19052
933	16673	19030
934	16687	19007
935	16701	18985
936	16715	18963
937	16729	18940
938	16743	18918
939	16757	18896
940	16770	18873
941	16784	18851
942	16798	18829
943	16812	18807
944	16827	18785
945	16841	18764
946	16856	18743
947	16870	18721
948	16885	18700
949	16899	18678
950	16913	18656
951	16927	18634
952	16941	18612
953	16955	18590
954	16970	18569
955	16984	18547
956	16997	18525
957	17011	18502
958	17025	18481
959	17039	18459
960	17054	18439
961	17068	18416
962	17082	18395
963	17096	18373
964	17110	18351
965	17125	18331
966	17139	18309
967	17154	18288
968	17163	18261
969	17177	18239
970	17191	18218
971	17204	18196
972	17215	18170
973	17228	18148
974	17242	18126
975	17256	18105
976	17271	18084
977	17285	18062
978	17299	18041
979	17312	18019
980	17327	17998
981	17341	17976
982	17355	17955
983	17364	17929
984	17378	17907
985	17388	17882
986	17402	17861
987	17417	17840
988	17431	17818
989	17444	17796
990	17458	17775
991	17472	17753
992	17486	17733
993	17500	17712
994	17514	17690
995	17528	17668
996	17542	17648
997	17559	17629
998	17572	17607
999	17591	17591
1000	17607	17571
1001	17622	17551
1002	17638	17532
1003	17652	17511
1004	17667	17491
1005	17682	17471
1006	17697	17451
1007	17712	17430
1008	17727	17410
1009	17741	17390
1010	17755	17368
1011	17769	17347
1012	17782	17326
1013	17812	17320
1014	17822	17295
1015	17835	17274
1016	17849	17252
1017	17863	17231
1018	17876	17209
1019	17890	17188
1020	17903	17166
1021	17912	17141
1022	17935	17129
1023	17975	17133
1024	18005	17127
1025	18026	17112
1026	18041	17092
1027	18051	17068
1028	18065	17047
1029	18079	17026
1030	18094	17006
1031	18108	16985
1032	18122	16964
1033	18137	16944
1034	18151	16923
1035	18165	16903
1036	18180	16882
1037	18194	16862
1038	18209	16842
1039	18223	16821
1040	18238	16801
1041	18253	16781
1042	18266	16760
1043	18281	16740
1044	18294	16719
1045	18308	16698
1046	18323	16678
1047	18336	16656
1048	18350	16636
1049	18365	16616
1050	18379	16595
1051	18389	16571
1052	18402	16550
1053	18416	16529
1054	18430	16508
1055	18444	16488
1056	18458	16467
1057	18473	16448
1058	18483	16423
1059	18497	16403
1060	18512	16383
1061	18527	16364
1062	18541	16343
1063	18551	16319
1064	18566	16299
1065	18581	16280
1066	18595	16260
1067	18610	16240
1068	18624	16220
1069	18638	16199
1070	18652	16179
1071	18667	16159
1072	18680	16138
1073	18690	16114
1074	18704	16094
1075	18717	16073
1076	18731	16052
1077	18745	16032
1078	18760	16012
1079	18774	15993
1080	18789	15973
1081	18804	15954
1082	18817	15933
1083	18831	15913
1084	18846	15893
1085	18859	15872
1086	18873	15852
1087	18887	15832
1088	18901	15812
1089	18916	15792
